Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/34-openroad-cts/soc_top.odb'…
Reading design constraints file at '/nix/store/ss2cw3sxbrwwx9jl0rrppbw4kgcmgi2n-python3-3.11.9-env/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 58 endpoints with setup violations.
[INFO RSZ-0099] Repairing 58 out of 58 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |  -10.450 |     -286.8 |     58 | monitor_out[29]
       10 |       0 |       9 |        0 |      0 |     0 |  -10.068 |     -278.0 |     58 | monitor_out[31]
       20 |       0 |      17 |        0 |      0 |     2 |   -9.865 |     -268.4 |     58 | monitor_out[31]
       30 |       0 |      24 |        0 |      0 |     5 |   -9.945 |     -269.7 |     58 | monitor_out[31]
       40 |       0 |      30 |        2 |      0 |     8 |   -9.858 |     -266.4 |     58 | monitor_out[31]
       50 |       0 |      40 |        2 |      0 |     8 |   -9.824 |     -263.6 |     58 | monitor_out[31]
       60 |       0 |      44 |        4 |      0 |    13 |   -9.738 |     -266.8 |     58 | monitor_out[31]
       70 |       0 |      46 |       12 |      0 |    17 |   -9.699 |     -265.5 |     58 | monitor_out[31]
       80 |       0 |      52 |       14 |      0 |    20 |   -9.706 |     -265.7 |     58 | monitor_out[31]
       90 |       0 |      60 |       16 |      0 |    21 |   -9.623 |     -264.1 |     58 | monitor_out[31]
      100 |       0 |      67 |       16 |      0 |    24 |   -9.530 |     -260.4 |     58 | monitor_out[31]
      110 |       0 |      73 |       20 |      0 |    26 |   -9.409 |     -255.2 |     58 | monitor_out[31]
      120 |       0 |      79 |       20 |      0 |    30 |   -9.308 |     -253.2 |     58 | monitor_out[31]
      130 |       0 |      83 |       22 |      0 |    35 |   -9.282 |     -252.8 |     58 | monitor_out[31]
      140 |       0 |      90 |       26 |      0 |    36 |   -9.247 |     -253.3 |     58 | monitor_out[31]
      150 |       0 |      96 |       26 |      0 |    40 |   -9.195 |     -250.9 |     58 | monitor_out[31]
      160 |       0 |     105 |       26 |      0 |    41 |   -9.148 |     -249.1 |     58 | monitor_out[31]
      170 |       0 |     110 |       28 |      0 |    45 |   -9.077 |     -246.2 |     58 | monitor_out[31]
      180 |       0 |     118 |       28 |      0 |    47 |   -9.032 |     -244.3 |     58 | monitor_out[31]
      190 |       0 |     126 |       30 |      0 |    48 |   -9.021 |     -244.8 |     58 | monitor_out[31]
      200 |       0 |     134 |       30 |      0 |    50 |   -8.936 |     -241.3 |     58 | monitor_out[31]
      210 |       0 |     143 |       30 |      0 |    51 |   -8.910 |     -238.7 |     58 | monitor_out[31]
      220 |       0 |     147 |       30 |      0 |    57 |   -8.903 |     -238.6 |     58 | monitor_out[31]
      230 |       0 |     152 |       32 |      0 |    61 |   -8.894 |     -237.8 |     58 | monitor_out[31]
      240 |       0 |     158 |       34 |      0 |    64 |   -8.866 |     -236.8 |     58 | monitor_out[31]
      250 |       0 |     167 |       34 |      0 |    65 |   -8.852 |     -234.1 |     58 | monitor_out[31]
      260 |       0 |     174 |       34 |      0 |    68 |   -8.784 |     -232.7 |     58 | monitor_out[31]
      270 |       0 |     184 |       34 |      0 |    68 |   -8.757 |     -231.6 |     58 | monitor_out[31]
      280 |       0 |     190 |       34 |      0 |    72 |   -8.759 |     -231.3 |     58 | monitor_out[31]
      290 |       0 |     198 |       36 |      0 |    73 |   -8.729 |     -230.1 |     58 | monitor_out[31]
      300 |       0 |     205 |       36 |      0 |    76 |   -8.704 |     -229.4 |     58 | monitor_out[31]
      310 |       0 |     210 |       38 |      0 |    80 |   -8.702 |     -230.0 |     58 | monitor_out[31]
      320 |       0 |     216 |       38 |      0 |    84 |   -8.655 |     -226.6 |     58 | monitor_out[31]
      330 |       0 |     223 |       40 |      0 |    86 |   -8.605 |     -225.3 |     58 | monitor_out[31]
      340 |       0 |     231 |       40 |      0 |    88 |   -8.590 |     -224.1 |     58 | monitor_out[31]
      350 |       0 |     237 |       40 |      0 |    92 |   -8.582 |     -223.6 |     58 | monitor_out[31]
      360 |       0 |     246 |       42 |      0 |    92 |   -8.543 |     -222.5 |     58 | monitor_out[31]
      370 |       0 |     253 |       44 |      0 |    94 |   -8.517 |     -221.1 |     58 | monitor_out[31]
      380 |       0 |     260 |       46 |      1 |    95 |   -8.498 |     -219.6 |     58 | monitor_out[31]
      390 |       0 |     270 |       46 |      1 |    95 |   -8.461 |     -218.2 |     58 | monitor_out[31]
      400 |       0 |     275 |       48 |      2 |    98 |   -8.447 |     -217.3 |     58 | monitor_out[31]
      410 |       0 |     283 |       48 |      3 |    99 |   -8.431 |     -217.1 |     58 | monitor_out[31]
      420 |       0 |     291 |       48 |      4 |   100 |   -8.429 |     -217.1 |     58 | monitor_out[31]
      425 |       0 |     296 |       48 |      4 |   100 |   -8.423 |     -216.6 |     58 | monitor_out[31]
      426 |       0 |     296 |       48 |      4 |   100 |   -8.423 |     -216.6 |     58 | monitor_out[31]
      430 |       0 |     299 |       48 |      4 |   100 |   -8.423 |     -216.6 |     58 | monitor_out[31]
      437 |       0 |     299 |       49 |      4 |   100 |   -8.423 |     -216.6 |     58 | monitor_out[31]
      440 |       0 |     301 |       49 |      4 |   100 |   -8.423 |     -216.5 |     58 | monitor_out[31]
      450 |       0 |     309 |       49 |      4 |   102 |   -8.439 |     -216.2 |     58 | monitor_out[31]
      452 |       0 |     305 |       49 |      4 |   102 |   -8.423 |     -216.0 |     58 | monitor_out[31]
      460 |       0 |     310 |       49 |      4 |   104 |   -8.423 |     -215.6 |     58 | monitor_out[31]
      463 |       0 |     312 |       49 |      4 |   104 |   -8.421 |     -215.6 |     58 | monitor_out[31]
      470 |       0 |     317 |       49 |      4 |   105 |   -8.473 |     -216.0 |     58 | monitor_out[31]
      480 |       0 |     323 |       49 |      4 |   109 |   -8.467 |     -215.0 |     58 | monitor_out[31]
      480 |       0 |     316 |       49 |      4 |   105 |   -8.421 |     -215.6 |     58 | monitor_out[31]
      490 |       0 |     324 |       49 |      4 |   106 |   -8.421 |     -215.2 |     58 | monitor_out[31]
      493 |       0 |     325 |       49 |      4 |   107 |   -8.421 |     -215.2 |     58 | monitor_out[31]
      500 |       0 |     330 |       49 |      4 |   108 |   -8.421 |     -215.1 |     58 | monitor_out[31]
